Dataset,#TrainingReleases,%TrainingData,%DefectiveTraining,%DefectiveTesting,Classifier,FeatureSelection,Balancing,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa,F1score,NPofB20,Cost
Apache Storm,4,6.920722,8.9057045,17.73779,RandomForest,None,SMOTE,None,38,483,157,100,0.07293666,0.2753623,0.20259851,-0.22951104,0.115326256,0.3333333333333333,1483
Apache Storm,4,6.920722,8.9057045,17.73779,IBk,None,None,None,129,613,27,9,0.17385444,0.9347826,0.21004869,-0.008477685,0.2931818,0.391304347826087,703
Apache Storm,4,6.920722,8.9057045,17.73779,IBk,None,None,Learning,129,613,27,9,0.17385444,0.9347826,0.21004869,-0.008477685,0.2931818,0.391304347826087,703
Apache Storm,4,6.920722,8.9057045,17.73779,IBk,BestFirstBackward,None,None,1,5,133,639,0.16666667,0.0015625,0.7527853,-0.012374017,0.0030959751,0.07246376811594203,6395
Apache Storm,4,6.920722,8.9057045,17.73779,IBk,BestFirstBackward,None,Learning,1,5,133,639,0.16666667,0.0015625,0.7527853,-0.012374017,0.0030959751,0.07246376811594203,6395
Apache Storm,4,6.920722,8.9057045,17.73779,IBk,BestFirstBackward,Undersampling,None,27,14,124,613,0.6585366,0.0421875,0.7394135,-0.021929953,0.07929515,0.08695652173913043,6144
Apache Storm,4,6.920722,8.9057045,17.73779,IBk,BestFirstBackward,SMOTE,None,457,12,126,183,0.97441363,0.7140625,0.7553895,0.4220175,0.82416594,0.06521739130434782,1842
Apache Storm,4,6.920722,8.9057045,17.73779,IBk,None,Undersampling,None,101,493,147,37,0.17003366,0.73188406,0.37970448,-0.01673768,0.27595627,0.38405797101449274,863
Apache Storm,4,6.920722,8.9057045,17.73779,IBk,None,SMOTE,None,84,519,121,54,0.13930348,0.6086956,0.220137,-0.08711683,0.22672065,0.34782608695652173,1059
Apache Storm,5,10.054786,10.056089,23.728813,NaiveBayes,None,None,None,186,665,10,24,0.21856639,0.8857143,0.30582717,-0.04848985,0.35061264,0.44761904761904764,905
Apache Storm,5,10.054786,10.056089,23.728813,NaiveBayes,None,None,Learning,178,660,15,32,0.2124105,0.84761906,0.30582717,-0.06411593,0.33969465,0.42857142857142855,980
Apache Storm,5,10.054786,10.056089,23.728813,NaiveBayes,BestFirstBackward,None,None,4,15,195,671,0.21052632,0.005925926,0.2489806,-0.031552657,0.011527377,0.3333333333333333,6725
Apache Storm,5,10.054786,10.056089,23.728813,NaiveBayes,BestFirstBackward,None,Learning,14,25,185,661,0.35897437,0.02074074,0.2489806,-0.048114773,0.039215688,0.4714285714285714,6635
