Dataset,#TrainingReleases,%TrainingData,%DefectiveTraining,%DefectiveTesting,Classifier,FeatureSelection,Balancing,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa,NPofB20
Bookkeeper,1,8.453681,51.666668,33.554817,IBk,BestFirstForward,Undersampling,Threshold,70,74,126,31,0.4861111,0.6930693,0.66153467,0.2922722,28.712872
Bookkeeper,1,8.453681,51.666668,33.554817,IBk,BestFirstForward,Undersampling,Learning,28,9,191,73,0.7567568,0.27722773,0.53643566,0.27542272,19.801981
Bookkeeper,1,8.453681,51.666668,33.554817,IBk,BestFirstForward,SMOTE,None,84,92,108,17,0.47727272,0.83168316,0.68133664,0.31397805,32.673267
Bookkeeper,1,8.453681,51.666668,33.554817,IBk,BestFirstForward,SMOTE,Threshold,84,92,108,17,0.47727272,0.83168316,0.68584156,0.31397805,32.673267
Bookkeeper,1,8.453681,51.666668,33.554817,IBk,BestFirstForward,SMOTE,Learning,35,9,191,66,0.79545456,0.34653464,0.6308911,0.35049054,18.811882
Bookkeeper,1,8.453681,51.666668,33.554817,IBk,BestFirstBackward,None,None,72,77,123,29,0.48322147,0.7128713,0.6592822,0.29336464,29.70297
Bookkeeper,1,8.453681,51.666668,33.554817,IBk,BestFirstBackward,None,Threshold,72,77,123,29,0.48322147,0.7128713,0.66393566,0.29336464,29.70297
Bookkeeper,1,8.453681,51.666668,33.554817,IBk,BestFirstBackward,None,Learning,72,77,123,29,0.48322147,0.7128713,0.6592822,0.29336464,29.70297
Bookkeeper,1,8.453681,51.666668,33.554817,IBk,BestFirstBackward,Oversampling,None,92,184,16,9,0.33333334,0.9108911,0.3454703,-0.0063750544,25.742575
Bookkeeper,1,8.453681,51.666668,33.554817,IBk,BestFirstBackward,Oversampling,Threshold,92,184,16,9,0.33333334,0.9108911,0.49544555,-0.0063750544,25.742575
Bookkeeper,1,8.453681,51.666668,33.554817,IBk,BestFirstBackward,Oversampling,Learning,80,182,18,21,0.3053435,0.7920792,0.5351733,-0.084559545,26.732674
Bookkeeper,1,8.453681,51.666668,33.554817,IBk,BestFirstBackward,Undersampling,None,70,74,126,31,0.4861111,0.6930693,0.6568317,0.2922722,28.712872
Bookkeeper,1,8.453681,51.666668,33.554817,IBk,BestFirstBackward,Undersampling,Threshold,70,74,126,31,0.4861111,0.6930693,0.66153467,0.2922722,28.712872
Bookkeeper,1,8.453681,51.666668,33.554817,IBk,BestFirstBackward,Undersampling,Learning,28,9,191,73,0.7567568,0.27722773,0.53643566,0.27542272,19.801981
Bookkeeper,1,8.453681,51.666668,33.554817,IBk,BestFirstBackward,SMOTE,None,84,92,108,17,0.47727272,0.83168316,0.68133664,0.31397805,32.673267
Bookkeeper,1,8.453681,51.666668,33.554817,IBk,BestFirstBackward,SMOTE,Threshold,84,92,108,17,0.47727272,0.83168316,0.68584156,0.31397805,32.673267
